year,region,latitude,longitude,temperature,rainfall,humidity,wind_speed,co2_index,climate_risk_score
2000,North America,41.8543,-55.8157,16.59,1509.21,56.49,13.06,373.16,6.436
2000,North America,25.9263,-53.5506,12.12,1117.02,53.05,12.14,370.48,4.372
2000,North America,44.4375,-133.635,9.95,1025.7,46.38,8.35,372.93,4.964
2000,North America,33.9853,-107.3203,11.82,944.37,42.74,15.5,368.8,5.031
2000,North America,55.7905,-116.062,13.95,476.92,72.34,9.12,370.42,4.66
2000,North America,49.602,-146.1872,16.95,968.55,58.27,12.8,367.04,5.34
2000,North America,62.2932,-125.9031,-2.63,194.78,64.86,12.46,368.65,4.391
2000,North America,25.2485,-71.7756,18.12,1272.51,47.41,12.76,370.66,6.529
2000,North America,39.8904,-160.5001,9.57,421.52,72.19,19.42,369.86,5.719
2000,North America,30.3817,-83.8371,15.45,1515.21,59.46,20.26,364.76,6.26
2000,North America,26.1439,-155.2688,14.35,780.4,61.38,6.05,369.56,5.668
2000,North America,43.4672,-78.845,10.77,699.3,73.73,15.32,368.94,5.42
2000,North America,65.1652,-104.3576,-6.81,768.94,54.12,8.15,370.59,3.462
2000,North America,25.3128,-107.7318,8.34,731.74,54.86,10.79,369.68,5.104
2000,North America,48.3456,-85.0438,15.03,870.22,31.22,13.89,370.12,6.743
2000,North America,27.3165,-135.1197,13.23,1020.62,59.48,9.33,372.29,5.78
2000,North America,35.6937,-82.0705,19.61,339.26,68.8,22.76,368.02,5.996
2000,North America,26.8349,-98.2746,7.8,927.43,44.07,15.89,368.16,5.52
2000,North America,67.1528,-151.7725,-7.13,771.18,72.2,9.08,370.45,3.949
2000,North America,48.8343,-139.4614,15.04,1212.73,41.45,8.72,371.04,5.841
2000,South America,4.4348,-44.3458,21.28,992.9,64.4,11.14,373.73,6.468
2000,South America,-11.3186,-70.4593,20.1,1214.83,77.38,10.72,371.93,6.43
2000,South America,-10.9399,-54.2895,23.02,598.51,46.66,10.74,369.85,6.664
2000,South America,4.7671,-51.3365,24.05,1481.41,56.03,24.88,371.25,6.354
2000,South America,-36.1883,-79.8571,19.72,1092.99,56.65,16.86,370.95,6.064
2000,South America,9.5625,-40.9086,20.61,294.06,53.3,17.43,370.43,5.812
2000,South America,7.7224,-48.2866,20.46,961.49,60.87,9.43,370.72,6.377
2000,South America,-8.2999,-47.9832,18.49,524.87,67.73,16.06,371.03,8.011
2000,South America,-1.5142,-50.4517,27.82,1160.56,55.27,17.04,368.45,6.829
2000,South America,-16.2552,-79.3107,33.26,153.09,70.29,7.55,369.06,8.35
